indoors,created_at,session_id,gps_latitude,gps_longitude,gps_vertical_accuracy,gps_horizontal_accuracy,gps_course,gps_speed,baro_relative_altitude,baro_pressure,env_context,env_mean_bldg_floors,env_activity,city_name,country_name
0,2016-08-28T15:49:56.147Z,2016-08-28T15:49:25.146Z,51.59926213,-0.531012677,3,10,350.859375,1.320000052,-0.308135986,100.1196671,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:57.147Z,2016-08-28T15:49:25.146Z,51.59927747,-0.531014688,3,10,354.7265625,1.730000019,-0.434532166,100.12117,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:58.147Z,2016-08-28T15:49:25.146Z,51.59927747,-0.531014688,3,10,354.7265625,1.730000019,-0.434532166,100.12117,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:49:59.147Z,2016-08-28T15:49:25.146Z,51.59932625,-0.531001529,3,10,9.4921875,2.730000019,-0.413215637,100.1209106,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:00.147Z,2016-08-28T15:49:25.146Z,51.5993522,-0.530991135,3,10,11.6015625,2.630000114,-0.413215637,100.1209106,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:01.147Z,2016-08-28T15:49:25.146Z,51.59937512,-0.530979652,3,10,11.953125,2.319999933,-0.413215637,100.1209106,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:02.147Z,2016-08-28T15:49:25.146Z,51.59939541,-0.530966073,3,10,13.7109375,2.150000095,-0.448242188,100.1213379,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:03.147Z,2016-08-28T15:49:25.146Z,51.59941171,-0.530954758,3,10,11.953125,1.919999957,-0.452812195,100.1213913,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:04.147Z,2016-08-28T15:49:25.146Z,51.59942797,-0.530946208,3,10,7.3828125,1.860000014,-0.452812195,100.1213913,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:05.147Z,2016-08-28T15:49:25.146Z,51.59944674,-0.530938245,3,10,12.65625,2.119999886,-0.448242188,100.1213379,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:06.147Z,2016-08-28T15:49:25.146Z,51.59946544,-0.530927349,3,10,18.28125,2.049999952,-0.53250885,100.1223373,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:07.147Z,2016-08-28T15:49:25.146Z,51.59948618,-0.530914273,3,10,15.46875,2.190000057,-0.56905365,100.1227722,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:08.147Z,2016-08-28T15:49:25.146Z,51.59950127,-0.530900694,3,10,17.9296875,1.529999971,-0.56905365,100.1227722,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:09.147Z,2016-08-28T15:49:25.146Z,51.59951254,-0.530889798,3,10,16.875,1.409999967,-0.762458801,100.1250687,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:10.778Z,2016-08-28T15:49:25.146Z,51.59952386,-0.530879404,3,10,14.0625,1.50999999,-0.762458801,100.1250687,highway,0-2,driving,gerrards cross,united kingdom
0,2016-08-28T15:50:11.147Z,2016-08-28T15:49:25.146Z,51.59953517,-0.530871777,3,10,12.3046875,1.320000052,-0.686309814,100.1241608,highway,0-2,driving,gerrards cross,united kingdom
